"H1","H2","H3","H4","H5","H6","Class","H8","H9"
80.904,73.452,16.209,66,42,22.434,"Class3","U","C"
69.791,62.585,48.578,44,19,79.03,"Class4","B","A"
75.823,73.42,33.277,95,47,28.937,"Class3","R","F"
78.451,85.685,27.293,78,NA,21.842,"Class3","R","C"
88.964,66.817,3.059,59,92,37.383,"Class1","N","K"
54.042,85.993,26.189,59,41,16.895,"Class3","R","Q"
83.251,78.703,3.78,44,92,35.881,"Class1","J","L"
48.715,83.887,37.733,72,50,19.8,"Class3","E","X"
48.75,75.134,43.182,72,33,8.425,"Class3","E","G"
45.476,72.819,48.318,58,28,27.728,"Class3","E","Q"
80.067,42.494,5.045,52,94,24.059,"Class1","N","S"
80.601,82.218,4.259,49,92,22.111,"Class1","G","X"
60.956,56.86,21.43,21,NA,70.797,"Class4","T","Q"
41.081,13.612,-40.268,10,27,50.43,"Class2","R","A"
82.359,91.985,2.872,63,80,25.805,"Class1","G","T"
42.691,21.812,23.987,7,49,51.061,"Class2","R","T"
56.76,69.214,42.456,28,19,68.548,"Class4","E","U"
NA,94.375,19.956,38,16,69.774,"Class4","E","J"
42.129,18.357,55.287,13,28,39.91,"Class2","C","A"
42.436,30.541,8.394,NA,73,16.57,"Class2","E","Y"
81.002,51.187,4.141,57,NA,34.043,"Class1","G","K"
78.897,64.354,42.136,43,9,84.779,"Class4","S","U"
56.796,67.995,3.539,39,11,70.589,"Class4","T","A"
40.825,17.291,38.012,NA,23,56.551,"Class2","L","R"
74.727,30.933,3.845,59,81,29.958,"Class1","M","X"
69.549,82.177,34.912,94,46,11.838,"Class3","U","C"
89.878,33.062,3.32,65,91,31.053,"Class1","J","L"
76.819,86.249,4.475,42,84,19.113,"Class1","N","X"
62.318,93.064,26.875,32,13,65.936,"Class4","S","J"
43.502,23.186,129.114,15,48,17.813,"Class2","L","Y"
70.624,75.847,13.59,55,37,23.331,"Class3","Y","G"
92.019,77.621,3.582,65,88,30.675,"Class1","M","T"
85.002,96.017,4.24,49,92,34.985,"Class1","G","T"
55.307,82.152,63.403,67,9,62.731,"Class4","J","A"
56.859,55.325,63.316,44,NA,83.682,"Class4","B","A"
41.285,24.309,42.627,4,15,51.646,"Class2","C","Y"
84.849,78.387,2.67,58,87,17.478,"Class1","N","T"
56.381,56.34,73.269,72,21,92.506,"Class4","J","J"
42.051,11.5,39.479,9,67,99.303,"Class2","C","R"
70.143,67.141,25.104,69,44,27.305,"Class3","R","X"
90.79,56.834,3.487,49,91,NA,"Class1","M","K"
90.295,61.589,3.245,34,80,20.122,"Class1","N","X"
68.197,73.549,47.048,6,NA,73.275,"Class4","E","U"
84.738,52.765,4.479,58,84,11.96,"Class1","M","T"
56.762,75.534,41.09,77,21,73.004,"Class4","S","J"
61.674,87.567,46.775,71,18,51.58,"Class4","E","Q"
40.944,33.859,NA,17,57,8.591,"Class2","R","T"
59.327,54.057,32.581,25,24,58.703,"Class4","S","N"
82.861,62.982,4.31,65,NA,16.889,"Class1","M","S"
55.794,NA,28.778,64,44,18.487,"Class3","Y","G"
71.842,88.045,27.602,62,48,10.012,"Class3","R","Q"
44.893,84.861,16.131,60,22,24.59,"Class3","U","G"
44.067,68.331,43.46,56,49,16.566,"Class3","R","F"
59.758,66.561,11.307,64,9,74.225,"Class4","J","A"
67.291,60.983,16.69,57,14,78.103,"Class4","E","U"
62.989,60.622,29.009,87,12,NA,"Class4","T","U"
64.72,NA,24.661,66,23,84.441,"Class4","B","J"
58.337,63.05,38.237,57,11,80.177,"Class4","J","N"
62.563,71.786,18.394,43,23,NA,"Class4","E","A"
58.149,72.94,24.672,92,30,1.709,"Class3","E","F"
78.616,81.241,21.387,78,34,11.029,"Class3","Y","G"
44.3,20.945,45.646,6,24,56.278,"Class2","R","Y"
79.967,49.89,5.368,48,91,31.495,"Class1","M","X"
76.907,31.725,4,43,80,13.025,"Class1","J","K"
45.042,76.083,46.623,94,40,12.283,"Class3","Y","X"
39.997,13.372,63.052,3,43,32.289,"Class2","E","Y"
NA,69.734,50.117,76,15,NA,"Class4","E","N"
43.421,16.867,60.339,4,53,51.978,"Class2","C","A"
57.117,70.921,32.688,NA,28,15.852,"Class3","X","X"
56.846,55.589,34.626,83,12,75.556,"Class4","S","Q"
55.24,64.031,41.547,73,NA,14.548,"Class3","X","C"
80.055,96.537,2.837,49,95,22.391,"Class1","N","T"
54.979,66.016,20.039,63,31,4.435,"Class3","E","Q"
41.487,22.091,55.318,3,64,77.369,"Class2","L","R"
44.065,35.974,67.333,6,52,56.301,"Class2","S","S"
42.598,32.416,78.041,6,9,56.867,"Class2","R","Y"
68.654,67.47,40.633,89,49,16.535,"Class3","E","Q"
67.449,NA,19.117,67,35,19.848,"Class3","E","C"
39.1,12.492,31.983,8,76,59.53,"Class2","C","Y"
47.387,84.95,37.61,59,27,19.365,"Class3","R","G"
41.728,61.805,15.318,82,42,30.242,"Class3","E","Q"
75.438,55.216,3.474,47,82,29.719,"Class1","M","K"
74.78,55.788,25.212,12,14,76.158,"Class4","J","J"
90.751,38.879,3.336,35,85,27.526,"Class1","N","S"
63.496,59.77,30.167,78,16,63.402,"Class4","T","N"
75.032,56.756,65.362,40,22,80.074,"Class4","J","U"
63.618,64.949,-0.313,43,24,68.723,"Class4","E","U"
68.257,54.385,53.327,10,21,78.23,"Class4","J","Q"
55.734,98.768,11.735,6,12,83.565,"Class4","T","U"
NA,94.72,35.553,8,17,57.421,"Class4","E","J"
74.443,81.357,39.124,95,NA,22.048,"Class3","Y","G"
43.397,30.146,84.964,16,NA,33.82,"Class2","C","A"
43.665,19.068,11.156,3,32,55.527,"Class2","C","Y"
38.826,64.887,17.286,88,43,7.671,"Class3","E","C"
41.132,24.586,18.513,15,41,41.158,"Class2","E","R"
57.037,63.07,13.465,55,26,25.561,"Class3","R","G"
44.94,35.259,33.566,13,17,43.034,"Class2","C","S"
53.362,71.693,23.962,87,48,-0.03,"Class3","Y","Q"
43.533,12.694,37.446,17,66,43.799,"Class2","E","T"
76.959,83.015,34.134,58,35,19.569,"Class3","E","G"
70.282,75.774,29.46,92,31,14.974,"Class3","E","G"
54.547,75.463,27.27,86,23,8.824,"Class3","X","F"
41.067,88.658,NA,87,46,9.5,"Class3","Y","Q"
70.03,77.643,28.74,87,15,54.574,"Class4","E","N"
43.335,31.995,52.916,17,74,20.305,"Class2","S","A"
58.8,81.375,35.441,29,20,70.808,"Class4","B","N"
42.244,11.086,8.724,7,21,32.777,"Class2","E","Y"
40.39,24.742,56.004,12,39,60.353,"Class2","S","R"
55.351,87.222,NA,29,14,68.147,"Class4","E","U"
51.391,83.729,10.876,74,40,17.438,"Class3","E","F"
79.165,85.881,23.771,93,35,21.994,"Class3","Y","C"
78.948,61.602,NA,96,47,14.411,"Class3","E","X"
86.332,60.382,2.748,41,89,25.976,"Class1","Y","T"
90.206,81.486,4.786,42,91,23.236,"Class1","J","X"
43.433,24.9,34.251,4,47,20.067,"Class2","L","S"
41.51,31.646,104.003,NA,36,16.899,"Class2","L","A"
40.529,28.146,59.654,4,47,23.613,"Class2","S","R"
79.588,NA,4.518,42,81,14.554,"Class1","J","K"
88.629,92.94,3.858,61,93,NA,"Class1","M","L"
58.614,71.521,32.454,83,NA,47.555,"Class4","J","U"
65.597,67.4,23.651,65,33,9.1,"Class3","U","X"
79.12,92.413,3.098,61,83,16.682,"Class1","M","K"
89.719,82.917,3.64,48,94,25.65,"Class1","Y","K"
76.706,96.244,30.71,81,21,70.779,"Class4","J","J"
76.276,85.036,3.966,49,94,26.386,"Class1","M","T"
77.882,75.298,50.304,19,23,75.221,"Class4","J","U"
55.783,75.453,12.435,87,44,6.849,"Class3","U","F"
NA,34.641,32.556,12,55,34.947,"Class2","C","A"
80.546,44.665,4.179,37,82,30.652,"Class1","Y","T"
39.785,32.692,40.078,12,75,59.304,"Class2","C","S"
77.026,96.513,5.319,38,93,18.095,"Class1","N","S"
76.238,59.634,-8.258,85,20,69.021,"Class4","S","J"
74.698,39.402,4.057,34,88,26.855,"Class1","J","S"
53.851,78.107,11.613,65,29,11.955,"Class3","Y","G"
NA,84.159,3.392,32,82,NA,"Class1","M","T"
44.596,85.526,21.196,83,40,8.601,"Class3","U","Q"
79.114,78.677,4.109,54,91,25.216,"Class1","J","K"
84.5,60.855,5.429,37,93,16.658,"Class1","G","L"
87.897,NA,3.048,41,90,18.159,"Class1","J","L"
69.013,88.587,80.38,47,7,75.339,"Class4","B","N"
63.018,58.138,29.716,14,16,68.785,"Class4","S","J"
73.82,80.942,4.055,38,86,33.019,"Class1","N","T"
79.206,72.699,3.27,37,83,26.812,"Class1","M","K"
62.195,69.613,44.902,76,35,17.893,"Class3","R","C"
77.185,66.746,33.523,65,22,13.563,"Class3","X","Q"
44.427,25.121,39.921,17,25,18.265,"Class2","R","Y"
70.669,65.653,52.731,13,15,79.159,"Class4","S","J"
82.184,81.531,3.66,63,82,33.04,"Class1","G","X"
68.364,79.972,61.416,69,17,88.343,"Class4","J","A"
64.04,70.357,6.36,16,22,54.906,"Class4","B","N"
43.207,19.082,93.979,13,52,62.039,"Class2","E","A"
79.542,86.615,35.736,75,48,23.036,"Class3","X","X"
63.706,76.009,21.809,76,15,58.461,"Class4","E","J"
40.303,29.053,16.44,6,10,68.452,"Class2","S","S"
76.265,81.788,NA,71,49,20.315,"Class3","X","Q"
71.533,90.817,69.432,7,NA,57.202,"Class4","E","A"
84.023,57.841,4.062,34,87,40.896,"Class1","N","L"
77.568,40.841,3.483,52,82,18.59,"Class1","M","T"
85.042,67.117,4.09,35,93,37.232,"Class1","M","L"
61.488,67.168,45.058,62,47,17.048,"Class3","E","F"
88.424,48.578,4.391,53,88,29.464,"Class1","N","K"
92.595,42.94,2.784,53,87,25.876,"Class1","Y","S"
75.279,NA,5.037,63,80,19.049,"Class1","G","K"
49.362,67.336,28.761,57,32,14.341,"Class3","X","Q"
43.114,27.394,12.157,11,42,-4.357,"Class2","E","R"
73.638,86.552,2.474,63,94,32.34,"Class1","G","T"
60.184,88.606,30.096,NA,25,1.43,"Class3","X","F"
52.017,72.282,34.062,95,22,3.83,"Class3","E","Q"
43.34,9.045,57.677,4,49,24.982,"Class2","L","R"
71.475,87.708,33.513,73,49,17.842,"Class3","Y","Q"
75.552,97.08,60.109,61,12,73.074,"Class4","T","Q"
69.196,68.388,29.394,NA,30,16.907,"Class3","Y","G"
66.017,64.942,21.253,88,25,12.974,"Class3","R","G"
71.692,56.227,4.779,44,82,35.766,"Class1","Y","T"
44.828,26.468,30.53,8,47,61.621,"Class2","R","Y"
85.172,28.587,3.139,39,87,NA,"Class1","M","K"
78.807,81.245,4.46,59,83,36.65,"Class1","J","X"
73.184,88.749,3.419,51,91,18.902,"Class1","J","X"
61.532,74.385,13.951,80,28,23.266,"Class3","U","F"
40.965,34.534,44.413,12,12,32.021,"Class2","S","S"
74.172,33.688,4.337,35,83,18.519,"Class1","M","L"
63.529,96.68,NA,19,15,84.401,"Class4","T","A"
44.106,9.903,21.463,NA,10,NA,"Class2","L","R"
80.412,86.353,4.407,40,81,15.696,"Class1","M","L"
72.597,57.034,55.729,NA,20,76.752,"Class4","E","Q"
73.018,59.146,3.656,46,94,20.27,"Class1","M","T"
56.419,61.637,16.367,9,23,103.132,"Class4","S","J"
85.678,72.706,2.896,64,89,27.375,"Class1","Y","S"
40.601,66.613,22.818,NA,50,30.512,"Class3","X","G"
42.928,20.527,-32.228,5,71,28.79,"Class2","C","S"
43.594,33.841,29.944,3,60,42.119,"Class2","E","A"
92.093,64.714,4.114,45,84,38.031,"Class1","M","S"
55.37,82.745,22.45,69,49,23.234,"Class3","E","Q"
60.301,62.742,29.79,80,36,19.557,"Class3","X","C"
80.434,27.76,3.301,65,83,16.914,"Class1","M","S"
91.255,92.651,4.249,44,88,32.811,"Class1","M","T"
