"T1","T2","T3","T4","T5","T6","T7","Class","T9"
27.422,43,92,"N",59.141,"C",43.829,"Class2",52.161
7.834,84,10,"S",52.054,"H",14.086,"Class3",34.857
7.72,84,2,"S",54.366,"M",15.057,"Class3",57.577
6.5,85,NA,"W",49.392,"A",30.824,"Class3",32.487
42.465,67,68,"D",63.772,"S",39.126,"Class2",52.453
40.424,28,10,"E",69.16,"G",76.647,"Class1",73.847
31.798,22,74,"N",60.785,"S",56.41,"Class2",53.581
15.739,85,9,"X",94.982,"A",51.029,"Class3",54.693
50.074,42,46,"O",70.143,"S",37.767,"Class2",51.789
5.116,84,6,"S",67.114,"H",64.359,"Class3",86.453
17.774,85,12,"X",44.369,"A",52.817,"Class3",77.552
43.488,NA,96,"T",42.125,"I",61.207,"Class2",53.073
56.385,NA,76,"T",83.362,"S",64.036,"Class2",51.357
24.311,NA,7,"X",63.716,"Y",73.331,"Class1",76.891
34.614,51,6,"T",67.514,"H",NA,"Class1",95.544
9.406,84,8,"V",82.394,"E",50.562,"Class3",89.84
56.758,16,99,"D",NA,"I",64.512,"Class2",51.705
50.159,54,52,"D",48.891,"U",40.736,"Class2",53.477
49.986,48,41,"D",48.698,"I",45.327,"Class2",55.076
18.053,84,13,"S",51.472,"J",43.191,"Class3",94.563
14.019,84,NA,"R",38.257,"H",28.813,"Class3",49.616
65.322,25,89,"D",86.309,"G",63.025,"Class2",52.559
NA,44,7,"J",59.925,"Y",73.477,"Class1",65.067
11.049,60,10,"T",70.806,"G",68.161,"Class1",88.503
57.784,45,6,"F",65.29,"G",85.892,"Class1",54.299
53.747,77,93,"T",75.235,"G",36.38,"Class2",52.604
38.712,21,81,"O",80.095,"I",65.531,"Class2",54.902
24.009,50,6,"X",63.599,"H",70.416,"Class1",85.222
40.598,59,99,"J",63.379,"I",41.707,"Class2",55.478
35.413,23,65,"O",32.146,"I",63.779,"Class2",52.436
NA,67,46,"D",94.148,"S",41.51,"Class2",NA
55.848,19,9,"J",63.394,"U",86.531,"Class1",46.718
10.358,84,12,"S",40.557,"A",40.724,"Class3",91.906
55.776,18,45,"D",100.537,"G",37.246,"Class2",52.693
30.134,46,62,"N",70.01,"G",46.217,"Class2",55.777
8.634,84,4,"W",22.853,"J",7.547,"Class3",50.091
8.606,51,9,"T",64.789,"V",82.392,"Class1",58.187
48.143,61,76,"O",87.064,"C",63.228,"Class2",52.5
18.831,46,9,"F",65.774,"Y",90.102,"Class1",54.716
2.448,84,10,"V",28.499,"E",24.218,"Class3",86.775
33.085,60,7,"T",66.064,"U",77.519,"Class1",48.294
-23.479,40,7,"T",66.888,"U",92.944,"Class1",60.538
40.991,22,9,"J",72.695,"V",67.011,"Class1",79.576
20.487,46,11,"F",70.913,"Y",95.127,"Class1",90.301
53.832,24,89,"N",48.168,"G",57.592,"Class2",51.503
42.079,63,78,"N",69.528,"G",47.265,"Class2",53.862
63.475,41,75,"N",100.436,"U",37.648,"Class2",54.451
59.401,70,94,"D",NA,"I",37.675,"Class2",51.387
32.995,26,8,"F",62.255,"Y",76.141,"Class1",70.019
11.989,84,4,"X",74.997,"A",48.79,"Class3",52.285
26.034,26,6,"T",68.874,"G",69.05,"Class1",80.439
46.344,22,42,"D",32.876,"S",43.113,"Class2",55.032
